IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1288361,2134052,3572045,5983410,6130419,3804921,1514451,982960,1582608,2742602,4741172,6056954,4967444,2672225,1274863,PP
1281192,2111248,3517327,5838290,6009484,3687917,1483257,952940,1567881,2701361,4636520,5920732,4849750,2595386,1240333,PP
1290381,2184305,3647983,6045205,6137369,3677751,1551975,981969,1606181,2802478,4803948,6082129,4904260,2629336,1296320,PP
1258142,2124602,3560731,5982993,6103010,3798887,1585987,1024634,1562207,2727923,4727052,6032466,4944917,2706170,1333557,PP
1305202,2210170,3666766,5962731,6072987,3565377,1519327,941827,1620274,2817468,4768579,6007117,4811054,2546838,1246713,PP
1296482,2141421,3593202,5999528,6061245,3648794,1487664,905039,1590362,2755865,4756294,6031574,4859602,2578194,1215225,PP
1295715,2160843,3584912,6021289,6239178,3896762,1537891,1005904,1597910,2760711,4765124,6125931,5068031,2729354,1294698,PP
1267475,2180800,3657956,6157096,6295634,3671399,1529753,898836,1561245,2747379,4805827,6187432,4962352,2591794,1217671,PP
1345606,2286472,3823463,6221610,6315723,3771748,1582080,967040,1677698,2932884,4978904,6265486,5043862,2687839,1295225,PP
1199952,2002816,3463366,5593466,5459265,3220482,1498515,947712,1470323,2616315,4494978,5546235,4357004,2388346,1260998,PP
1265858,2140578,3573026,6013610,6170260,3788411,1570219,1006522,1573280,2743396,4752872,6089705,4977169,2690609,1314110,PP
1296350,2159467,3580312,5992308,6256940,3873454,1529767,988566,1595580,2755180,4744803,6121895,5067636,2714592,1280216,PP
1281828,2172977,3631959,6047389,6153532,3668807,1529899,971622,1599109,2792029,4803179,6103946,4918974,2618832,1281008,PP
1283440,2244175,3735828,6226911,6395317,3812328,1591027,975161,1628067,2868929,4939817,6305587,5100827,2713125,1307650,PP
1339964,2282443,3773855,6070900,6119221,3622144,1560006,946630,1672571,2905137,4878197,6094330,4873334,2601349,1274206,PP
1306957,2225377,3723565,6161579,6239375,3655445,1537005,924484,1631700,2855731,4898132,6198424,4950665,2608938,1251224,PP
1290361,2144771,3605036,6132139,6134418,3733678,1504224,988837,1589709,2763659,4828900,6128769,4931962,2629558,1269630,PP
1306540,2215459,3726922,6176657,6284359,3734032,1613841,970503,1626546,2853659,4913632,6239137,5022618,2691770,1313821,PP
1252217,2069039,3450692,5985525,6143403,3948870,1480426,1024722,1533494,2649089,4679740,6064553,5049514,2727437,1274397,PP
1283473,2159607,3611094,5969824,6044161,3671442,1559730,976037,1586759,2759728,4741348,6005060,4852858,2627309,1286122,PP
1273234,2122056,3563013,5918730,6044467,3790377,1537652,1003983,1570683,2731287,4705976,5992770,4935501,2689730,1304092,PP
1294639,2261083,3784053,6177695,6265749,3619945,1635101,971358,1641636,2895950,4914961,6182091,4921260,2636233,1334635,PP
1269917,2160729,3617932,6041977,6151550,3679364,1526860,981071,1593541,2786087,4802570,6112447,4933598,2627177,1289937,PP
1265684,2115774,3531130,5962322,6146267,3816873,1500671,980557,1561315,2711730,4705509,6044551,4973521,2669108,1265376,PP
1287652,2187856,3659611,6028706,6094060,3716392,1595639,1021619,1612368,2816627,4806458,6048344,4896876,2667985,1345656,PP
1174119,2013303,3475845,5576073,5582607,3277431,1492466,934150,1495239,2679976,4567478,5692898,4536478,2454206,1274511,PP
1296202,2147018,3597697,6018476,6055576,3631371,1491301,907507,1593444,2761744,4769021,6039773,4849873,2572106,1219279,PP
1276638,2166805,3611360,5948418,6036030,3666973,1560009,988576,1590957,2774031,4744510,6018339,4886393,2639648,1301142,PP
1306682,2233461,3735872,6209769,6331167,3758315,1643978,965667,1634889,2867160,4931154,6266765,5046377,2714087,1327920,PP
1228190,2070745,3504364,5996855,6232058,3883315,1538986,987993,1538999,2703638,4730463,6125539,5083080,2739897,1294135,PP
1305093,2238715,3750562,6168626,6242893,3596712,1588071,906562,1638366,2875701,4916114,6200881,4921860,2605515,1269803,PP
1287987,2252345,3746746,6180797,6294176,3845692,1617958,1042058,1636823,2880553,4919569,6224772,5061077,2743452,1365213,PP
1266124,2141218,3573037,6012175,6168521,3788334,1570639,1005681,1573732,2743725,4752404,6088463,4976352,2690682,1313962,PP
1243909,2065005,3461275,5991614,6173533,3932838,1495558,1016816,1534438,2661654,4693757,6088193,5066981,2733446,1280247,PP
1303437,2211220,3723394,6167352,6270746,3719656,1601099,970607,1623307,2849623,4907406,6229783,5011381,2679687,1307893,PP
1280335,2129770,3567799,5998151,6230173,3993313,1545158,1010985,1577864,2738896,4746297,6110970,5112839,2781814,1299182,PP
1273544,2157524,3573366,5973933,6122370,3786734,1580888,984063,1585470,2752006,4739590,6055107,4954965,2692539,1309854,PP
1303787,2237943,3751274,6169757,6243660,3588112,1585659,906361,1637477,2876048,4916800,6202516,4918582,2600198,1268481,PP
1300578,2128946,3570501,5993988,6153047,3786916,1517647,959460,1584547,2737324,4742528,6072284,4973735,2665422,1259428,PP
1154673,2046637,3504882,5885713,5992044,3664364,1473329,955075,1564638,2762970,4746200,6064595,4953444,2662384,1284789,PP
1301307,2128566,3570127,5991871,6147611,3796275,1512334,962065,1584710,2737091,4741753,6068938,4975141,2667056,1258332,PP
1235787,2150112,3635760,6054738,6068332,3556701,1571850,955658,1571831,2796865,4841173,6139414,4890681,2609665,1303954,PP
1284998,2170327,3605867,5963639,6153520,3774350,1562798,958548,1596034,2773147,4744417,6060481,4966876,2679078,1284213,PP
1227125,2093961,3594644,6000148,6037033,3769265,1534813,1020486,1546052,2727090,4697508,5925219,4876710,2672535,1317045,PP
1290464,2274749,3784436,6272152,6356160,3689012,1597494,949963,1649211,2907697,4982875,6308513,5020970,2655195,1299602,PP
1289864,2183800,3625615,5974230,6184863,3750215,1542711,923791,1604356,2788870,4756262,6077280,4971311,2658478,1254712,PP
1269774,2101086,3482007,5874636,6182094,3852252,1514531,963534,1556970,2679675,4638022,6025385,5015185,2692274,1259729,PP
1275671,2189005,3644665,6092972,6261617,3687366,1525136,887319,1583087,2769999,4793575,6153581,4963836,2607209,1217728,PP
1281311,2161790,3612650,5964905,6042621,3675846,1569958,986595,1585900,2759650,4738476,6001346,4852916,2634898,1296515,PP
1259389,2228642,3738179,6283775,6431986,3805507,1597780,965631,1620214,2883494,5005614,6383533,5125115,2719715,1315704,PP
1273842,2132026,3618151,6178795,6345419,3885476,1578099,1023276,1587694,2779906,4871711,6270643,5129072,2754436,1332568,PP
1305617,2292559,3816220,6251685,6337462,3854214,1632094,1013664,1664424,2937103,4999692,6298250,5101663,2763997,1362307,PP
1240214,2109976,3546723,5974470,6190263,3860799,1553432,965961,1544302,2730758,4736662,6072787,5015292,2719602,1293024,PP
1291597,2179207,3651840,6197431,6278672,3694953,1526530,915935,1587091,2771450,4853118,6216417,4976827,2612528,1233612,PP
1282268,2196121,3633905,6039704,6232513,3701599,1521584,878347,1601507,2789371,4783685,6125027,4965141,2620801,1218463,PP
1256816,2119648,3571347,6041394,6214127,3937641,1554387,1023740,1563442,2737074,4773467,6128262,5081345,2762081,1315289,PP
1296079,2186373,3639211,5982534,6154252,3726841,1521807,943517,1610126,2799587,4771638,6069792,4944567,2637979,1256453,PP
1330745,2290970,3823566,6233308,6322667,3802962,1603579,985764,1673939,2937091,4988825,6277984,5065569,2718340,1323031,PP
1300448,2205554,3656874,6048992,6152251,3654347,1529828,948109,1618373,2813145,4810844,6100998,4906828,2605730,1262902,PP
1146774,2051882,3518418,5887169,5992862,3658431,1488496,959694,1566940,2775723,4757990,6075370,4960856,2672544,1297495,PP
1288361,2141079,3574431,5966407,6127359,3742447,1535284,1010522,1583901,2742826,4730085,6045994,4934051,2646090,1291380,PP
1282474,2242955,3735865,6231272,6392842,3820968,1593738,980542,1627172,2868683,4942016,6306202,5103591,2719072,1312391,PP
1290465,2161758,3603992,5931771,6001762,3667472,1546122,978291,1594684,2767890,4728420,5980673,4856500,2627336,1285878,PP
1324044,2271357,3768578,6192521,6375066,3782802,1531093,930791,1660433,2898371,4935545,6279439,5080400,2669079,1254244,PP
1299803,2277695,3796852,6254701,6345707,3864201,1622926,1014150,1654236,2919868,4989216,6300451,5107810,2762618,1355683,PP
1272320,2129786,3575999,5873169,5942530,3637194,1529280,969336,1583593,2762144,4717379,5965475,4850870,2621484,1282749,PP
1248598,2108401,3570855,5893288,5855018,3442004,1494100,964612,1553885,2731470,4697183,5877791,4646769,2481384,1259814,PP
1323892,2274323,3747923,6176129,6346568,3793643,1572459,954587,1661200,2888980,4917813,6259198,5069793,2694456,1286557,PP
1323631,2253397,3742755,6138240,6277354,3817892,1568976,953440,1654444,2879474,4898301,6204862,5047489,2705839,1284624,PP
1290236,2222847,3732115,6171132,6256067,3556259,1570300,899233,1624861,2861357,4905721,6211610,4910372,2576534,1257273,PP
1289259,2130966,3572043,5947755,6090392,3807816,1550294,1010921,1576793,2731545,4712195,6013759,4952672,2694088,1305393,PP
1165954,2042640,3508419,5781649,5892111,3579657,1502263,964117,1547882,2765066,4735346,6035416,4928136,2647857,1306918,PP
1286609,2195102,3627963,6003497,6209429,3719924,1526256,887946,1608525,2795780,4772719,6102102,4967298,2635869,1228787,PP
1286127,2117255,3537319,5975414,6317981,3805448,1502042,945176,1574126,2716185,4714026,6141721,5065015,2665472,1240454,PP
1217466,2126541,3629347,5994923,6046208,3612959,1543147,958966,1568323,2793433,4803125,6063074,4872655,2600013,1290800,PP
1227624,2093997,3592623,5992226,6030803,3767985,1532151,1018541,1546583,2727319,4696539,5924333,4876813,2672218,1315543,PP
1299775,2149692,3620140,6119625,6294448,3984302,1496838,932849,1593418,2769864,4829651,6209753,5145323,2754042,1239957,PP
1294257,2258109,3781352,6177135,6269547,3635605,1638139,980542,1639826,2893048,4913362,6184631,4931991,2646151,1340866,PP
1236694,2075918,3517818,6019989,6228653,3908303,1537813,1006858,1543562,2704719,4743178,6136852,5093819,2750016,1300174,PP
1271782,2162646,3620128,6042824,6151860,3677711,1527336,979592,1594413,2787017,4802666,6111116,4931309,2625871,1288540,PP
1257730,2147879,3580081,5972908,6108085,3783144,1546387,1020085,1577349,2756281,4743467,6040408,4940464,2678205,1318343,PP
1313145,2302608,3855921,6381189,6497315,3887371,1638510,1003333,1671142,2958997,5078227,6433146,5189833,2777732,1353449,PP
1300695,2262642,3760032,6225117,6371500,3746325,1555375,936626,1647238,2889968,4946745,6292044,5057921,2661922,1269623,PP
1279206,2133113,3604554,6172582,6363040,3909701,1550232,995162,1586045,2767111,4856040,6272446,5146718,2749114,1300624,PP
1316613,2295418,3785331,6080108,6112240,3641039,1594600,989585,1668711,2917499,4881722,6082047,4868930,2627414,1323536,PP
1260460,2146426,3577580,5969288,6110453,3790123,1539792,1018513,1577631,2753678,4739557,6039751,4945687,2678703,1314391,PP
1334833,2278507,3798766,6209252,6349259,3775824,1550997,945696,1668952,2916870,4959583,6275191,5063578,2675037,1270367,PP
1249090,2099909,3486984,5913440,6174081,3828596,1503640,978547,1546072,2681869,4658184,6032473,4990595,2674591,1265209,PP
1301637,2157610,3598129,5918818,5974486,3668055,1535224,970007,1597555,2762653,4715407,5950148,4831816,2617366,1273549,PP
1309473,2232150,3706940,6143856,6353102,3858353,1630264,970479,1635208,2850587,4883176,6245269,5105626,2755254,1321498,PP
1297100,2132528,3574273,6001575,6177029,3746080,1541781,947699,1584551,2740242,4746018,6086231,4967713,2658672,1264533,PP
1292748,2262656,3785076,6173682,6258300,3636375,1640439,985419,1641708,2898368,4915295,6178655,4927484,2648805,1346156,PP
1294640,2155428,3596792,6042713,6055033,3601709,1489015,909390,1597077,2766451,4782384,6053787,4836891,2557502,1221267,PP
1323408,2288619,3791775,6249546,6305591,3719833,1551709,938188,1670173,2919862,4978818,6274052,5014912,2650439,1270281,PP
1319495,2259179,3730119,6043074,6111201,3609667,1545687,927653,1649657,2871602,4841128,6073979,4862265,2591665,1260894,PP
1313652,2225555,3731666,6149214,6264328,3768017,1587142,963361,1635959,2861058,4901457,6212702,5026116,2694167,1297433,PP
1263995,2228064,3745692,6261439,6340034,3795464,1662897,982241,1615245,2869925,4960411,6287926,5061752,2745992,1353946,PP
1299076,2158614,3599404,5921404,5980422,3667783,1537474,971886,1597005,2764066,4718400,5957215,4837883,2619669,1276371,PP
1271482,2206760,3665390,6025407,6045536,3513678,1528356,895008,1608785,2821005,4805917,6032853,4778840,2531926,1235109,PP
1246212,2117230,3554771,5968441,6181861,3863392,1555778,967443,1548439,2735435,4735628,6063699,5009322,2720187,1294326,PP
1275757,2160730,3580607,5972142,6129835,3783633,1577416,978040,1587892,2757004,4741113,6056962,4957629,2689557,1304299,PP
1294888,2159061,3603028,5934185,5997186,3670416,1546689,975409,1593689,2761647,4723078,5967208,4838683,2623031,1281063,PP
1249971,2110675,3546720,5890862,6001340,3761486,1531098,996224,1560379,2726837,4695974,5969713,4908559,2679975,1304776,PP
1280692,2118324,3544164,5985808,6268191,4019036,1525525,1011899,1571174,2720138,4725826,6124594,5144485,2783733,1288417,PP
1304620,2185249,3633730,5970242,6066036,3542519,1501670,935043,1610221,2791493,4758874,6012430,4802024,2530480,1236423,PP
1269340,2165332,3610585,5959936,6046260,3664856,1562413,989405,1587939,2774997,4751988,6026666,4884878,2636819,1302236,PP
1296041,2138977,3585863,5990275,6050328,3655471,1488925,916976,1588770,2751046,4748085,6021206,4857786,2582590,1222147,PP
1282123,2240320,3712503,6022142,6114891,3584399,1562127,971238,1629798,2859979,4827237,6069980,4852740,2590748,1293515,PP
1291364,2218514,3708099,6141318,6258342,3610118,1578151,892728,1623040,2845462,4878969,6192783,4935006,2606091,1258031,PP
1347764,2289003,3789912,6099267,6140617,3600720,1552949,937590,1679161,2916684,4901405,6119018,4873058,2587511,1266537,PP
1267686,2142433,3575891,5956662,6286371,3872842,1541517,974496,1576449,2745980,4725626,6122158,5090487,2725858,1279612,PP
1302186,2249905,3771525,6221896,6278688,3593595,1578418,915811,1642374,2891899,4953361,6248530,4937565,2597983,1270343,PP
1280939,2162439,3612664,5963227,6041861,3674319,1568625,986431,1586467,2761073,4739003,6002968,4855778,2634869,1296572,PP
1310190,2211452,3690724,6049475,6078641,3650309,1573908,999985,1627057,2832937,4825956,6064282,4873916,2630958,1317437,PP
1316363,2237001,3685995,6042166,6137878,3664618,1542433,940850,1640248,2841981,4822798,6092356,4905348,2614515,1263987,PP
1288913,2240605,3740185,6183312,6268555,3614241,1581294,926586,1631848,2871117,4914710,6215038,4941980,2612451,1281536,PP
1341230,2300233,3819959,6304825,6483308,3906107,1607213,982455,1682388,2937151,5016650,6388109,5195118,2768939,1316125,PP
1282560,2128145,3555020,5960494,6315463,3825606,1515609,959342,1576982,2729203,4715168,6134014,5075427,2683911,1255224,PP
1295315,2160716,3585071,6021603,6239105,3897447,1538320,1006206,1597737,2760794,4765460,6126035,5068361,2729950,1295117,PP
1250266,2105752,3555067,6019663,6198217,3909074,1546828,1004038,1550068,2723746,4755507,6108429,5054865,2742772,1303289,PP
1295932,2186055,3616991,5953352,6038959,3524609,1490049,933099,1608820,2785981,4744221,5992813,4783823,2519542,1233307,PP
1293739,2227071,3736364,6162457,6252572,3564331,1573408,900030,1628198,2864887,4903968,6204772,4912797,2582347,1259177,PP
1300710,2236428,3736032,6214904,6348442,3773816,1630365,968973,1633192,2867757,4933887,6277469,5061532,2714652,1323163,PP
1292350,2152611,3594999,6044306,6053999,3603094,1489103,909382,1595503,2765212,4783325,6055613,4838603,2558791,1221990,PP
1322337,2293342,3823243,6239607,6327035,3820338,1615025,995822,1671720,2939178,4994031,6285066,5077913,2735061,1338072,PP
1325210,2275573,3749128,6176190,6339870,3794109,1580005,959357,1662350,2890120,4918615,6256186,5066405,2698311,1292523,PP
1194663,1982986,3412049,5527384,5368328,3189643,1451450,914141,1413342,2490236,4294319,5334918,4190578,2284946,1188414,PP
1282899,2243777,3710649,6021360,6125131,3586247,1556138,961200,1631496,2860520,4826402,6075282,4858113,2587420,1284171,PP
1343155,2284972,3813927,6221191,6310377,3770174,1573369,961997,1676130,2927835,4974331,6262443,5040649,2683131,1288665,PP
1299200,2238020,3751550,6213415,6253129,3599357,1588855,918613,1635715,2876230,4938197,6227511,4925668,2606922,1278171,PP
1277777,2144711,3581356,6000829,6085746,3642174,1513161,941730,1582891,2749778,4748081,6034232,4856388,2584491,1248132,PP
1215854,2124326,3630926,5994187,6043572,3609977,1541247,956715,1567799,2794481,4804654,6063527,4872497,2598385,1289827,PP
1299898,2183597,3633158,6004507,6064989,3584703,1504688,924701,1609023,2793041,4777065,6031868,4824978,2552883,1233753,PP
1248063,2119740,3554787,5975276,6190176,3859430,1552349,966200,1550488,2736493,4739029,6071268,5011276,2716305,1291763,PP
1270886,2182795,3667011,5991371,6026779,3727617,1598948,1030132,1615304,2837955,4836031,6043287,4894579,2685285,1348276,PP
1245594,2110732,3518699,5953667,6149350,3848394,1530989,996552,1550569,2704362,4697092,6046328,4986952,2696808,1288819,PP
1291391,2133563,3557783,5991948,6086376,3643987,1457222,894739,1583576,2734523,4736371,6041459,4869529,2561974,1197744,PP
1270968,2131545,3624291,6186186,6342918,3879259,1590366,1035383,1587381,2784631,4880149,6274127,5124969,2758208,1346135,PP
1293033,2263911,3755326,6279084,6450151,3860085,1589121,954475,1642562,2888693,4973225,6357676,5150970,2735327,1295762,PP
1331302,2275159,3756031,6039416,6095480,3645911,1567837,956664,1665254,2892319,4852437,6066931,4873638,2616702,1282717,PP
1319093,2254577,3724855,6046842,6114679,3613505,1538134,922044,1647484,2867135,4840944,6078251,4866387,2589859,1253700,PP
1297493,2215650,3663308,5979556,6065590,3544818,1508266,918209,1621585,2821533,4778763,6016930,4802430,2534267,1232790,PP
1326179,2250795,3708261,6036251,6121726,3685525,1562488,951076,1651139,2860530,4830098,6075847,4903707,2634283,1279313,PP
1302132,2281355,3777357,6289970,6500963,3855781,1585381,969890,1654817,2907874,4989114,6385904,5171147,2730985,1302296,PP
1336562,2289328,3823789,6228951,6319646,3790942,1595661,978807,1675475,2935647,4985225,6273085,5057030,2706773,1312627,PP
1319965,2268813,3747344,6034729,6101220,3631046,1566135,958487,1657868,2886335,4847022,6067887,4868824,2609953,1283974,PP
1265055,2159369,3615191,6036733,6142584,3677259,1532325,983282,1590740,2784535,4799689,6105877,4927213,2627447,1292685,PP
1295881,2144165,3548290,5937850,6228928,4000525,1529113,974416,1588034,2732325,4702184,6080502,5111993,2772567,1275488,PP
1246819,2151301,3577043,6000131,6108946,3644535,1553081,990233,1572674,2753081,4750690,6045660,4864146,2604558,1295302,PP
1333523,2278946,3778123,6218525,6294909,3765058,1539835,942255,1669789,2908589,4956431,6252726,5031311,2665395,1263271,PP
1290412,2250358,3748651,6157221,6234153,3806035,1618288,1033844,1638379,2886885,4921705,6203597,5028316,2732617,1361943,PP
1294847,2284332,3799000,6330695,6539846,3864300,1620004,1004574,1653891,2924091,5026194,6420957,5183771,2754969,1348284,PP
1270023,2137122,3621072,6163391,6310726,3929075,1569066,1006737,1584633,2778708,4863614,6244412,5130876,2770734,1321593,PP
1259309,2162969,3609137,5975992,6059680,3661793,1565315,990168,1583705,2776140,4762184,6037167,4881383,2632169,1303170,PP
1264813,2132214,3561657,5985135,6204348,3863545,1544488,974430,1565129,2742415,4743193,6085402,5023944,2714523,1288787,PP
1294920,2186507,3655165,6052566,6127024,3653157,1546076,980750,1607641,2804242,4809850,6086028,4893848,2617427,1291553,PP
1299913,2204233,3656072,6049143,6152413,3654703,1529969,949036,1617516,2812199,4810431,6100785,4906869,2606108,1263541,PP
1241376,2101902,3496642,5949846,6150744,3837911,1496345,995218,1543048,2687855,4680730,6036026,4981610,2676745,1272074,PP
1283585,2146747,3564541,5944303,6258647,3936316,1535343,972842,1583916,2740903,4712894,6099728,5100485,2748358,1276653,PP
1259060,2181200,3652067,6018590,6013537,3500652,1534892,913998,1593052,2804218,4797728,6013146,4753062,2528373,1249763,PP
1311421,2220668,3729267,6153930,6265518,3755361,1591925,965939,1632242,2857418,4903218,6217725,5022618,2691099,1300808,PP
1278682,2109366,3515122,5814454,6005589,3686060,1486571,951071,1566103,2698948,4622983,5906250,4845943,2595385,1241165,PP
1285867,2218044,3722579,6155087,6259867,3550070,1564459,894577,1620676,2854715,4892047,6205475,4910269,2570739,1251977,PP
1208342,2088110,3568748,5773009,5837300,3546549,1534444,974033,1566900,2789813,4757063,6003515,4855754,2626640,1318076,PP
1314621,2290709,3777873,6078911,6115032,3632908,1588140,981231,1664933,2911449,4877639,6082917,4866539,2621092,1316446,PP
1311396,2262324,3762169,6206284,6386651,3790017,1542162,940247,1650187,2890914,4940154,6291340,5088736,2678142,1264947,PP
1288447,2130800,3571748,5948674,6090721,3807584,1551225,1011279,1576413,2731451,4712583,6014247,4952469,2694403,1306128,PP
1279783,2129531,3538258,5910971,6121831,3883937,1537994,979182,1575557,2722375,4686093,6017867,5003768,2721496,1281466,PP
