6634,1699717,1965545,7106279,8383121,8379541,8383513,4088499,4690167,1684441,4393449,8381841,8381071,8383159,6760365,4387329
7169,1710905,1955863,7175131,8380015,8383357,8382329,4086577,4855963,1689223,4417345,8380611,8383807,8382515,6688865,4482607
27920,374137,541723,1319103,4054055,4405353,2829721,1072783,646181,422907,897263,2674457,4226441,3636237,1968879,895895
31651,360283,552369,1315731,4045545,4430159,2834497,1092791,626303,430111,904383,2663187,4238287,3633545,1973251,895331
2018,1824435,2814771,6112559,8385427,8387621,8387419,3133123,2607707,2145551,4306257,8386057,8387509,8386599,7314763,2882753
1957,2696181,4247627,8387015,8385291,8387239,8387261,4061859,2709679,3216147,8138291,8385965,8387187,8387017,7286427,3423781
35736,348243,538013,1111527,2875485,2497923,1847211,588535,421393,406141,789733,1979437,2687127,2190793,1242527,543453
1681,1226387,4367677,7228191,8387243,8386101,6430447,3055193,2580957,2590113,5554819,8386909,8385353,7727949,4761995,2849795
13270,765987,1230421,2038567,4701615,2659531,1474807,681633,512883,921585,1572097,3329345,3663515,2087349,1099103,641149
2173,1321809,2244877,3864451,6606091,7729221,4622727,2139291,1292955,1647705,2937949,5191853,7155067,6166831,3397615,1748105
13486,790957,1148725,1775127,2901465,2681779,1595873,697919,424285,872079,1431693,2331815,2793645,2134361,1159473,602651
14531,1101735,1697619,2770781,3240549,4003033,1588449,970139,566937,1291121,2135739,2962875,3630391,2834213,1300003,807743
14850,1121219,1778319,2753839,3835591,3754255,2030359,882389,499047,1352669,2192141,3280231,3815123,2907981,1491861,724503
