IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1089047,1806825,3134469,5723047,6068223,4318803,1582451,1162385,1338815,2374489,4392735,5889973,5185991,2963629,1403979,PE
1687879,2938081,4835451,7933105,7841573,4451445,2116185,1173897,2138037,3733291,6329861,7865661,6130579,3294557,1674197,PE
1015709,1732041,3078805,5661861,5784467,3636529,1301335,907027,1269175,2312351,4341537,5731747,4721259,2484953,1131701,PE
1434241,2463197,4183625,6695999,6339471,3699227,1548355,983623,1799263,3193183,5394667,6508659,5014501,2638543,1295815,PE
1594179,2823185,4659323,7650337,7533083,4251999,2016245,1098679,2043397,3594049,6102351,7570465,5872761,3144077,1587485,PE
1360933,2312183,3858383,6450143,6489237,4080657,1571549,1090809,1695837,2963627,5113591,6463337,5281385,2841101,1363111,PE
1034039,1768899,3033403,5307315,5514539,3642149,1399441,983111,1295713,2306071,4149373,5432087,4592979,2539751,1222193,PE
1136409,1892511,3347191,6053113,5852057,3571335,1345817,1170175,1398731,2518401,4665339,5948473,4711285,2479221,1286845,PE
1345897,2298929,3828905,6161899,5987873,3649751,1489259,1038015,1685563,2943261,4953729,6068319,4814879,2584531,1293477,PE
1247953,2121401,3634235,6101743,5803485,3157961,1437815,1221393,1558569,2766097,4828047,5946259,4476047,2314593,1360431,PE
1150955,1983387,3364599,5945635,6128293,4150615,1472931,1058443,1449367,2569035,4617713,6035089,5139899,2830511,1296239,PE
1075757,1828859,3199513,5789129,5710581,3565687,1381437,1057495,1344447,2415743,4455981,5748097,4649181,2496869,1246771,PE
1391683,2326927,3816705,5965887,6088663,4033299,1629303,1166809,1718681,2950949,4849725,6020153,5051919,2844765,1429181,PE
1179613,2048511,3434371,5692909,5687965,3432177,1405887,937467,1499263,2640181,4526197,5684399,4557827,2435137,1202097,PE
1212035,2070381,3430293,5645587,5817635,3944607,1537885,1070695,1517713,2641575,4499333,5729415,4875923,2753681,1333567,PE
1213147,2069525,3428727,5642075,5815657,3941221,1534877,1070991,1517925,2641299,4498613,5727033,4878249,2753761,1330443,PE
1726795,3075065,5111149,8386137,8131159,4569569,2291621,1242471,2223665,3933811,6729693,8261437,6342247,3442817,1796821,PE
1726321,3073295,5103589,8386403,8233635,4540381,2268881,1225311,2219259,3927609,6747821,8325273,6366523,3408499,1772257,PE
1143175,1892429,3182735,5772705,6392383,4645245,1466649,1144443,1401803,2437873,4440063,6073131,5510211,3067949,1337921,PE
1144393,1929385,3245267,5465767,5578759,3806979,1504819,1059279,1422719,2487261,4320947,5521285,4692215,2669513,1314321,PE
1110765,1934919,3308345,5640647,5466021,3375813,1313957,959241,1407413,2520211,4432469,5539549,4420339,2362301,1168405,PE
1217725,2114607,3524279,5912355,6010761,3736739,1569765,1110355,1542423,2709653,4680967,5957851,4872419,2670257,1371875,PE
1232827,2205393,3682331,6111023,6109375,3810835,1583815,1037801,1593183,2831909,4855763,6088125,4946529,2706769,1345509,PE
1264503,2287469,3793061,6292103,6377615,3994787,1610137,1027605,1643065,2921471,4999173,6311803,5169567,2811999,1350315,PE
1259381,2273575,3792685,6326213,6438955,4077687,1602513,1039129,1634373,2915641,5014257,6359539,5241771,2850341,1353011,PE
1225339,2151437,3632141,6310993,6431903,4136751,1523323,978139,1561763,2780065,4932241,6353251,5271273,2842085,1286067,PE
1829519,3289265,5322039,8380921,8383389,4909537,2354621,1124655,2370315,4136461,7343425,8383277,6725775,3635747,1771299,PE
1472713,2549147,4671915,8057531,8178459,5026201,2247935,1417525,1869827,3491849,6353465,8118711,6574829,3641335,1869453,PE
1263615,2291383,3843465,6505041,6408167,3865213,1553403,980161,1645835,2949581,5131149,6438355,5122137,2717035,1303175,PE
1269167,2284013,3787035,6232119,6199091,3601627,1549069,950413,1644643,2916241,4966945,6197245,4887803,2588261,1284505,PE
1309063,2369297,3941923,6421527,6399887,3716079,1654723,1018437,1701947,3033661,5137453,6397143,5046165,2695819,1369403,PE
1248053,2191789,3645713,6190241,6297139,3970077,1519961,956039,1592321,2806397,4875441,6222047,5117271,2752741,1273713,PE
1291391,2342277,3902905,6460553,6464459,3818881,1632201,964929,1682815,3003241,5139113,6445643,5134863,2739825,1332359,PE
1282163,2291131,3837857,6381763,6413577,3869691,1601043,998811,1652763,2945459,5066789,6376105,5122667,2745889,1334749,PE
1279331,2289649,3837779,6376969,6395873,3864901,1600799,996493,1651925,2945173,5062623,6367329,5117869,2744163,1330369,PE
1262069,2281907,3775961,6231883,6333431,3771597,1608187,1013999,1641285,2911269,4959597,6263845,5040145,2699945,1344909,PE
1273505,2206951,3725555,6235635,6261497,3923249,1586269,1058639,1608517,2848201,4929989,6214475,5069009,2760951,1357417,PE
1284481,2305903,3896937,6438933,6417861,3752931,1683785,1052115,1661683,2981381,5124331,6411723,5078209,2730421,1399053,PE
1267823,2290325,3812393,6399473,6495321,3923129,1621339,981129,1646293,2933379,5061553,6433735,5204547,2786749,1336517,PE
1260875,2209827,3696803,6400503,6561837,3959495,1527389,976301,1601209,2833295,4997541,6455341,5249235,2760569,1287835,PE
1251055,2182077,3642661,6070283,6382591,4031087,1593523,1047231,1586023,2799119,4815113,6211819,5196985,2824903,1355213,PE
1300413,2343453,3902263,6315745,6266937,3564175,1612939,1000175,1686669,3003425,5071629,6282675,4910217,2604655,1342667,PE
1258801,2279525,3873511,6545575,6573509,3953865,1636427,977833,1636433,2957701,5163361,6532671,5244713,2805175,1342631,PE
1270229,2221339,3712773,6176435,6310673,3921339,1573617,969805,1612839,2852179,4903307,6223903,5100545,2758869,1307439,PE
1277367,2308429,3835911,6291789,6415013,3790823,1660577,981441,1660431,2952741,5021285,6340941,5093875,2738129,1353415,PE
1286591,2244089,3738949,6192265,6133081,3656577,1529471,934947,1630593,2874371,4919851,6143557,4879755,2602967,1264923,PE
1314535,2370117,3939419,6574463,6690149,4001403,1686269,1049113,1703009,3030885,5212625,6613671,5334201,2857287,1402819,PE
1266839,2218175,3689421,6072861,6072993,3903877,1565123,1016909,1612997,2838511,4840225,6060707,4981791,2746181,1327159,PE
1275243,2267645,3767911,6256341,6322885,3875453,1592359,1026947,1632915,2893665,4957623,6263385,5085255,2744597,1344677,PE
1251261,2179361,3644081,6125815,6184085,3823339,1532381,1051103,1586315,2797463,4844599,6139393,4990359,2687475,1329679,PE
1270153,2213641,3724759,6298055,6488853,4086593,1570079,1045477,1609133,2852985,4964937,6369525,5275489,2839697,1343689,PE
1300911,2353679,3938275,6509497,6560013,3950343,1592295,991381,1691197,3022131,5180561,6521525,5247161,2784657,1327797,PE
1281819,2302601,3836663,6377787,6382163,3732321,1589747,981319,1660673,2949007,5064553,6362429,5049833,2674847,1320501,PE
1282075,2241477,3716297,6196317,6243893,3811071,1584089,1013761,1629109,2862379,4910973,6203149,5015673,2711267,1334933,PE
1292105,2324879,3872143,6466819,6380433,3729625,1594119,966043,1670231,2976083,5122965,6400051,5038817,2671869,1314319,PE
1252575,2190451,3711507,6310401,6403177,3853083,1533817,1008823,1594123,2837683,4971317,6341971,5122871,2708421,1306739,PE
1262189,2197903,3677097,6115229,6215479,3948233,1611359,1089511,1601665,2821865,4854363,6151981,5074303,2793999,1385539,PE
1261963,2187427,3666569,6080251,6157521,3872625,1625293,1046179,1594813,2811761,4824705,6094565,5003877,2758211,1370839,PE
1259547,2217897,3729161,6216797,6166607,3686607,1524605,971279,1608213,2857227,4927773,6175723,4924745,2622403,1283317,PE
1260489,2271877,3757111,6149221,6139555,3590735,1540469,924743,1627897,2891967,4902321,6119899,4851267,2578429,1268889,PE
1262205,2194073,3654001,6027245,6119967,3772263,1545835,1004731,1596431,2808931,4793789,6042419,4928277,2671539,1309273,PE
1240817,2171121,3629071,6203535,6395731,3882245,1557729,1014789,1575309,2780591,4864171,6271973,5124181,2728477,1322113,PE
1247857,2172601,3641379,6157853,6238399,3844863,1556395,1007415,1582233,2791683,4857783,6180943,5033651,2715925,1318595,PE
1271009,2218533,3697597,6210841,6345113,3864107,1566963,1024799,1614387,2840395,4912287,6263859,5096707,2729093,1332301,PE
1279831,2230019,3771689,6287795,6316713,3776909,1536477,976529,1617683,2872675,4975567,6285137,5042487,2670121,1290171,PE
1266691,2201819,3720557,6418415,6397823,4024967,1560385,997495,1602935,2843843,5021959,6393457,5206859,2805953,1313675,PE
