IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1442580,3445043,7321999,8395797,8386503,8384927,5387358,3778075,1884095,4113117,7314062,8395797,8395797,6240360,4102794,ALU
1281891,3205641,6936221,8395109,8395109,8395109,5240615,3820554,1703833,3801649,6888129,8395109,8395109,6009706,3932505,ALU
1523252,2985377,6285545,8390009,8367977,8390062,7103810,3993509,1675208,3600031,8390062,8390062,8390062,7827633,4877653,ALU
1539576,3562575,7544158,8395295,8394258,8395295,5428950,3790734,1889942,4159538,7368003,8395295,8395295,6258119,4116887,ALU
1483059,2929720,6188000,8396376,8379952,8396194,6868713,3891265,1629035,3535267,8398444,8398444,8398444,7745574,4748574,ALU
1494433,3518448,7461177,8396420,8376457,8396420,5361730,3797510,1873225,4126103,7330896,8396420,8396420,6223370,4097944,ALU
1454407,2881596,6223295,8380710,8399405,8399405,7044618,3967283,1629067,3495104,8399405,8399405,8399405,7737963,4731850,ALU
1461113,3483530,7393089,8396026,8376174,8396026,5353519,3801465,1863485,4084242,7278519,8396026,8396026,6191867,4087506,ALU
870403,2775068,5522595,8382894,8402550,8382009,5053347,3487651,1447685,3268704,8353402,8402550,8402550,6087664,3760154,ALU
881291,2745875,5474153,8368489,8404000,8362112,4981510,3432726,1539035,3328831,6554387,8404000,8404000,7257960,3773875,ALU
1283989,3200790,6920988,8396078,8396078,8396078,5266265,3828860,1697300,3776241,6843468,8396078,8396078,6004796,3945770,ALU
1248437,3176469,6814651,8395618,8395618,8395618,5290490,3838933,1686363,3759981,6821179,8395618,8395618,5959137,3926134,ALU
1303393,3214968,7007825,8375529,8395209,8395209,5338222,3832723,1724148,3850314,6957036,8395209,8395209,6049107,3988815,ALU
1532484,2903324,6218864,8388885,8389641,8389641,6924794,3825247,1683257,3429191,8389641,8389641,8389641,7545072,4736583,ALU
1499317,2916575,6295089,8376940,8399346,8392035,7051017,3945369,1654387,3529024,8399346,8399346,8399346,7733049,4729350,ALU
1771286,3750707,7779808,8377246,8391790,8394506,4978302,3564226,2060194,4391641,7925165,8394506,8394506,6692462,3905160,ALU
1483488,3486160,7402537,8396280,8387816,8384411,5400972,3770866,1898447,4169307,7384316,8396280,8396280,6285109,4117550,ALU
1322985,3265744,7032414,8375645,8395505,8372860,5355497,3832569,1735250,3872951,6976872,8395505,8395505,6081204,3993172,ALU
716039,2668625,5414928,8383819,8404919,8344775,4909043,3550930,1343343,3147105,7431749,8404919,8404919,5932809,3764027,ALU
835681,2906399,5655250,8400902,8386382,8400902,4993269,3787730,1482808,3391700,8157250,8400902,8400902,6057532,3883433,ALU
1562177,2982525,6389275,8382705,8394804,8381641,7073364,3923426,1678915,3569509,8394804,8394804,8394804,7758726,4820430,ALU
1593186,2995213,6459339,8383758,8392361,8392361,7181262,4007495,1682015,3574080,8392361,8392361,8392361,7771670,4894547,ALU
869789,2811634,5575355,8386064,8402753,8385548,5058730,3508770,1465217,3296667,8263454,8402753,8402753,6085574,3776133,ALU
1278360,3171959,6929795,8394734,8394734,8394734,5323408,3835807,1755179,3901851,7056938,8394734,8394734,6113012,4023610,ALU
1315854,3252494,7010167,8393254,8374547,8393172,5272984,3828318,1771678,3921811,7064284,8393835,8393835,6122677,4021131,ALU
739457,2731738,5451876,8389299,8398297,8359549,4887097,3555222,1372406,3198292,7413565,8404295,8404295,5900747,3748865,ALU
1299394,3224996,6970458,8394410,8394410,8394410,5238489,3811445,1730974,3851568,6968303,8394410,8394410,6032234,3932776,ALU
1274243,3190475,6856763,8395754,8395754,8395754,5289575,3835372,1694577,3772062,6838083,8395754,8395754,5992512,3948948,ALU
1499016,3523250,7470540,8396474,8376496,8396474,5362860,3796967,1874565,4131860,7338099,8396474,8396474,6227702,4099380,ALU
1575803,3607872,7620534,8384794,8395443,8382905,5441071,3786607,1931922,4211679,7439528,8395443,8395443,6285537,4127766,ALU
1319922,3262770,7024340,8380727,8395307,8378688,5342501,3831953,1744782,3874581,7002438,8395307,8395307,6069310,3996394,ALU
1695223,3459961,6583089,8389409,8367070,8389409,5237685,3837044,1911618,3837126,7009126,8389409,8389409,7552321,4119806,ALU
1332514,3258960,7058906,8373622,8395355,8384724,5353843,3830292,1737344,3861172,6970410,8395355,8395355,6048516,3982796,ALU
1482418,2931319,6181986,8397945,8377199,8397945,6869562,3899780,1627479,3537395,8397945,8397945,8397945,7751004,4758901,ALU
1281125,3186603,6935135,8394778,8394778,8394778,5321690,3835729,1747127,3884477,7039567,8394778,8394778,6102780,4017750,ALU
847239,2846019,5546498,8393280,8391079,8392865,4952996,3523885,1456275,3311598,7929447,8402504,8402504,5967769,3737634,ALU
1584858,3624266,7653609,8393513,8395658,8393133,5447554,3748942,1957344,4253196,7500597,8395658,8395658,6313011,4139025,ALU
1606276,3646338,7685477,8375871,8395229,8372357,5447376,3783239,1967583,4257303,7502355,8395679,8395679,6309029,4136571,ALU
1296793,3228869,6968059,8394489,8387533,8394489,5301525,3833006,1745240,3874834,7025769,8394489,8394489,6096744,4011434,ALU
1532914,3557762,7536861,8396347,8382328,8396347,5389066,3792492,1885595,4167038,7380611,8396347,8396347,6257228,4111527,ALU
1293051,3220762,6958187,8394641,8394641,8394641,5278574,3823581,1730807,3850231,6986263,8394641,8394641,6057184,3969487,ALU
195880,404066,649119,1335342,1107285,758535,451426,215670,287505,611440,813690,568448,377347,303083,295302,Other
1743305,3493415,5515987,8387748,8372572,5962018,2457440,1039819,806187,743158,707248,455433,554145,215120,346476,Other
1314434,2586754,4605606,8375680,8296461,5195359,2295298,1299435,1844883,3503797,7334625,7992529,7017901,3332369,1570620,Other
143864,287342,517699,1113499,925828,687619,328923,201025,192311,385719,815631,1021455,823315,536899,292493,Other
31052,96721,134054,170684,128793,75583,68719,-18888,42351,97676,147532,202926,188148,183333,165331,Other
73801,127891,153908,217025,150637,110235,133969,45958,81240,129524,171537,193283,146448,139400,121216,Other
-1,-1,-1,-1,-1,-1,-57531,-50240,-20978,-7507,30810,29221,26934,40887,35100,Other
40243,107110,145211,194373,140031,107317,128510,43669,68836,119241,173969,191814,151166,152392,130019,Other
156740,301936,528423,1137531,949497,702441,344823,197208,216533,439268,783730,899854,721993,494915,284842,Other
