IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
869361,1483879,2889589,5614445,5832297,4022085,1368801,1307607,HDPE
898613,1528067,2946365,5583671,6221413,4292211,1351531,1251505,HDPE
976119,1658999,2891831,5275695,5463209,3833907,1327015,992213,HDPE
871969,1490323,2614357,5688513,5532111,3727359,1454471,1211693,HDPE
1367857,2395733,3976695,5801291,6246563,3182151,1532175,936857,HDPE
894919,1462319,2788107,5520759,6225595,4437313,1629945,1184697,HDPE
906133,1545077,2716367,5277059,5326185,3666957,1268523,928721,HDPE
1134479,2024143,3424007,5843373,5903649,3494015,1561473,948841,HDPE
962371,1646807,2886951,5284111,5402917,3778571,1333959,946703,HDPE
891185,1417615,2535043,4975629,6137685,4298393,1362691,1101733,HDPE
871335,1616961,2981605,4347955,3973165,2462813,1239489,813407,HDPE
1014493,1733079,2967987,5366049,5595339,3805259,1382153,1025021,HDPE
1473349,2528719,4392079,6779537,6474413,3022231,1519969,901875,HDPE
925957,1718551,3164321,5113279,5951797,3529059,1399667,861345,HDPE
1365153,2405241,4044733,5840927,6180661,3298037,1631709,953755,HDPE
1176119,2166373,3504409,5118335,5393629,2986741,1545577,924299,HDPE
1029685,1875561,3180855,5061033,4481479,2578909,1218469,799319,HDPE
1038937,1886735,3172003,5185737,5207211,2985253,1215727,742275,HDPE
1039413,1767453,3030183,5396719,5524783,3797779,1372451,1005311,HDPE
1214433,2115779,3487363,5678719,5546239,3423505,1486733,1029863,HDPE
1008349,1730301,2917335,4987627,5075295,3396491,1338673,973201,HDPE
954805,1600067,2728715,4865255,5198863,3673471,1316489,1005995,HDPE
1001953,1718299,2947061,5249163,5345929,3733331,1369377,960615,HDPE
1051385,1788765,3021939,5552219,5736837,3667471,1360611,977225,HDPE
1324147,2309699,3910583,6266845,6630967,3951607,1762351,1152245,HDPE
1006411,1710121,3016115,5433499,5301181,3539259,1302891,970625,HDPE
1344265,2300673,3855597,5926753,6104713,2974653,1450499,860303,HDPE
545041,943371,1549715,2078781,1612091,992383,713565,589597,HDPE
559085,905601,1216261,2784019,3536619,2139863,955919,690603,HDPE
1338549,2322969,3931675,6431743,6643275,4058661,1779059,1140109,HDPE
1390885,2404253,4083357,5908733,6274375,3492883,1596985,928109,HDPE
1474067,2448443,4047545,5526485,5820765,3088011,1539927,942397,HDPE
1505609,2518805,4140693,5666933,5607129,2840589,1495917,974551,HDPE
958323,1613425,2977113,5870479,5784123,3154821,1229499,993675,HDPE
1446609,2449355,4052293,5605031,5905155,3218523,1610217,1002693,HDPE
841431,1420345,2638353,5760897,6190127,3708335,1395019,1256729,HDPE
851563,1434843,2971477,5453353,5736465,4214667,1419501,1309997,HDPE
970695,1648535,2896231,5270735,5223511,3754039,1299261,975819,HDPE
832895,1515375,2871771,6163747,5905783,4584885,1481413,1269725,HDPE
859863,1456041,2683607,5208027,6557133,4257533,1457723,1262355,HDPE
1007075,1721031,3002291,5433769,5475579,3761323,1397031,1002703,HDPE
1012295,1729471,2946813,5157789,5286695,3556391,1345211,988095,HDPE
986901,1676249,3016811,5833323,5754913,3708129,1328825,924829,HDPE
1432871,2451849,4190161,6171035,6046107,3248941,1538539,919723,HDPE
1001127,1691211,2960873,5367887,5318819,3655241,1291907,999919,HDPE
1014641,1721011,3045225,4358575,4177291,1981083,1035353,571603,HDPE
870045,1479429,2495375,3977429,4451113,2656971,1226045,769887,HDPE
1063219,1804231,3097747,5540385,5663467,3566333,1340159,944505,HDPE
907315,1584445,2829799,4498639,5235263,3164375,1360961,930939,HDPE
1500751,2512795,3966785,5442571,5832573,3077977,1605049,942611,HDPE
1572361,2691877,4633921,7645247,6916865,3331017,1819719,1139479,HDPE
1387311,2341471,3831527,5242897,5796825,3180255,1543937,964905,HDPE
934349,1546291,2922465,4919499,5343771,3761267,1247499,1387043,HDPE
1601651,2775521,4624565,7509941,6871077,3896379,2052161,1191893,HDPE
847369,1492437,2833097,5471621,6000157,4435793,1319767,1125195,HDPE
879049,1415181,2840967,6417263,6901613,4507865,1294279,1217043,HDPE
1434361,2412063,4031971,5765267,5969363,3167073,1571183,974979,HDPE
1012461,1736111,3002827,5418715,5513159,3811849,1345657,951001,HDPE
1248609,2056101,3536827,5433889,5286927,2824717,1435119,991843,HDPE
1425523,2407189,4156453,5294151,5292937,2854583,1502765,1089779,HDPE
1036779,1756537,3024955,5666871,6197167,4154183,1364635,1218897,HDPE
1418437,2437041,4135027,6784971,6015861,2890305,1524229,910921,HDPE
1397389,2388517,4005995,5501709,5641751,3060305,1538321,926773,HDPE
1018999,1687955,3003941,4539291,4884799,3326129,1229595,768093,HDPE
1433571,2445563,3931603,5413279,5619943,2925361,1590717,998335,HDPE
917235,1635605,2900489,4275427,4741107,2813135,1321681,879115,HDPE
1334307,2297519,3711801,6509467,6444411,4280069,1663267,950287,HDPE
1356047,2275519,3867175,6768337,6307467,3563373,1634023,1077953,HDPE
1302489,2251721,3857417,6725239,6317983,4142069,1783511,1196785,HDPE
1031957,1754467,3011073,5285425,5286369,3484569,1349365,957201,HDPE
994785,1688899,2919793,5271381,5329419,3592993,1313709,970661,HDPE
1486789,2511701,4124283,6117151,6632311,3349147,1556761,922845,HDPE
1494531,2544605,4310483,6416443,6929945,3623415,1695035,1013889,HDPE
1233823,2148435,3552479,5824987,5868211,3597779,1484647,926467,HDPE
1465617,2554497,4218399,7015913,6874865,4308289,2108777,1263461,HDPE
1010513,1700091,2938551,5157821,5208635,3539049,1326961,1009543,HDPE
