IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1441585,3446350,7324061,8395786,8385202,8386257,5382379,3781347,ALU
1427045,3296972,6643330,8372721,8384699,8384699,4796223,8092378,ALU
940120,2789707,5524430,8370713,8402808,8380256,5058533,3418577,ALU
1592050,3628315,7655032,8380053,8395549,8377305,5445138,3784793,ALU
1252563,3182311,6885332,8396800,8396800,8396800,5272647,3836493,ALU
1332499,3256809,7009932,8382585,8383658,8394853,5350621,3828456,ALU
1528261,2911659,6231823,8387157,8391360,8386788,6931125,3829375,ALU
1576164,3613126,7634593,8395595,8395595,8395595,5445209,3751381,ALU
1290005,3215974,6958724,8390686,8394956,8394956,5324947,3835686,ALU
1440295,3461714,7350550,8395780,8375997,8395780,5348388,3803936,ALU
1314066,3222972,7031073,8372422,8395307,8395307,5354759,3834011,ALU
1314125,3249323,6954973,8386147,8381823,8384903,5355966,3832323,ALU
1030828,2821227,5535891,8355891,8403068,8379700,5053573,3331024,ALU
838684,2881919,5569374,8397926,8386820,8397783,4917672,3542858,ALU
934588,2862345,5551694,8377839,8392970,8390420,4965297,3437083,ALU
1439143,3449560,7329122,8395760,8382009,8389519,5370157,3789379,ALU
1219023,3117615,6873142,8395489,8395489,8395489,5157936,3829535,ALU
1537798,2994323,6382047,8384976,8392813,8384287,6848283,3855100,ALU
1450427,3471826,7369781,8395636,8378851,8395636,5359801,3802508,ALU
1533337,2986473,6368012,8384110,8393726,8383264,6867289,3856451,ALU
1508842,2944074,6288816,8379685,8397571,8378031,6979776,3869494,ALU
1499494,2917087,6294967,8376986,8399337,8391745,7049489,3943748,ALU
1295627,3222482,6963171,8394547,8394547,8394547,5262292,3818652,ALU
1570198,3608024,7624339,8395663,8394067,8395663,5439260,3749730,ALU
1333009,3226087,6747287,8393862,8390442,8393862,5292212,3838639,ALU
1311513,3231482,7023883,8373530,8395369,8389170,5353268,3834667,ALU
828871,2892180,5613049,8400511,8401621,8400461,4932138,3552185,ALU
1316777,3256185,7018335,8375655,8395534,8372864,5358453,3833911,ALU
836811,2869790,5595756,8397143,8401799,8396934,4955311,3539847,ALU
1608442,3650108,7696286,8375377,8395624,8371847,5450011,3781874,ALU
