IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1104471,1832174,3167970,5705997,6092991,4322907,1576097,1136042,1357671,2401277,4395334,5886942,5198716,2964979,1387332,PE
1237628,2069613,3422106,5725149,5817765,3472236,1410673,843986,1526623,2636073,4534217,5771895,4650627,2454584,1147049,PE
1705357,2978410,4921779,8197759,8098587,4614575,2208208,1166590,2144764,3767566,6524967,8142010,6394281,3415654,1704248,PE
638932,1006072,1493582,2754145,2932077,1845040,786408,483085,775436,1219705,2147054,2885112,2405135,1323363,637069,PE
1069742,1782903,3052107,5206588,5482501,3927227,1494912,1011911,1314696,2320087,4096280,5346165,4708971,2725918,1276587,PE
572015,919361,1603181,2036681,1622350,930741,652037,488565,706479,1214586,1781371,1812926,1284136,813559,600035,PE
1071309,1707712,2978582,4122652,3575150,2088993,1018281,596240,1292095,2267598,3573199,3913147,2860928,1568872,816256,PE
996088,1686808,2919041,5266804,5324347,3596049,1313792,966906,1242214,2214308,4067184,5298085,4460100,2473454,1178838,PE
1014274,1673750,3166845,5388145,6277295,3974991,1445968,1296226,1240582,2321245,4217450,5800386,5107450,2703242,1398820,PE
1324343,2161810,3410578,5095939,5655059,2958549,1457619,797767,1643117,2712044,4242018,5267140,4196327,2099411,981017,PE
975184,1645959,2678040,4099613,4581851,2639513,1124383,690787,1210087,2078457,3384301,4374009,3624824,1905073,943489,PE
1206759,2151198,3538572,4927262,5252234,3076637,1515004,872206,1552439,2729305,4194227,5095303,4171623,2309815,1214470,PE
1502018,2431650,3902521,4978230,5464107,3027611,1502126,919541,1813576,3030679,4390998,5236046,4268094,2283455,1230126,PE
871391,1570602,2890591,4264020,4007853,2307926,1218660,773102,1150373,2120943,3443687,4148078,3253390,1817075,1034147,PE
1564873,2467053,3872258,5115806,5777403,3472018,1758493,1058487,1859627,3036730,4447740,5442883,4622374,2636334,1442889,PE
850398,1450840,2933041,5458427,5809707,4276086,1391799,1258667,1060343,2076682,4154213,5684190,5122513,2898362,1362490,PE
812435,1291529,2060991,2945268,2926740,1487057,781818,407898,985406,1595947,2473967,3019507,2357101,1229546,618690,PE
1190265,2015565,3381729,5790898,6163055,3948706,1473320,944617,1480683,2591293,4547180,5971936,5054849,2722344,1229931,PE
1204357,1993953,3299940,5426471,5740061,3623855,1462791,985273,1476702,2542289,4327911,5582853,4682321,2552691,1244940,PE
1017161,1733545,3079981,5660593,5785726,3637957,1302642,908558,1270593,2313642,4341472,5731804,4722641,2486209,1132952,PE
1518361,2570902,4388838,6846057,6880179,3743656,1743021,1075895,1888047,3339527,5531507,6836011,5298653,2730838,1434760,PE
1015336,1655938,2907943,5199224,5249460,3641189,1315028,911466,1227681,2185836,4017969,5219534,4431980,2481152,1132026,PE
945753,1495592,2338511,3639733,3307306,1864466,858070,471530,1151449,1860210,2974601,3488017,2595089,1366574,666611,PE
978696,1551875,2400417,3689628,3317305,1897912,878318,488357,1197049,1921405,3033036,3522752,2621587,1396572,686815,PE
1350367,2274609,3819386,6191884,6593722,4031196,1655068,1048240,1680407,2935996,4983959,6425613,5345437,2869342,1373042,PE
1032118,1602975,2712812,4570522,5281551,4523407,1369785,1111825,1218743,2078587,3621220,4951352,4955195,2982883,1259158,PE
1074022,1756623,3005533,5275788,5348145,3406424,1319269,905645,1305074,2286595,4109997,5327391,4401566,2381548,1132193,PE
1411199,2355854,3978724,5781664,5841602,3236018,1559416,1044987,1743144,3042987,4837724,5818740,4551160,2421264,1335018,PE
