IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
254414,422350,968103,2769123,1678284,1122455,488953,325630,320078,626433,1919362,2293666,1335114,815303,439501,PET
277362,273779,448775,826481,1166203,1157004,502158,372157,259351,349752,608555,1197480,1376407,854712,441505,PET
491671,997605,1483920,3444189,5390283,2524508,646537,578104,659466,1170289,2454410,4722617,4177672,1565537,619653,PET
266013,469941,961547,2838571,1956466,1587117,589583,334599,350648,707194,1829278,2385514,1834164,1094217,451833,PET
327805,536479,1365659,2252935,1962492,1343732,521012,340823,406345,855182,1692752,2016991,1614463,940417,409287,PET
324327,525354,905382,1988047,1710415,1442901,569997,380236,410384,707012,1423885,1736904,1517969,1026244,475462,PET
299552,527209,991396,2339677,1671903,1031818,515112,386264,390232,745866,1697506,1928861,1204521,732723,460172,PET
257550,531663,730221,2031548,1111653,976834,531759,475341,382452,584057,1363142,1548626,1094550,793830,524469,PET
328800,970063,1448085,3098812,3215492,1983979,832688,660326,652839,1177056,2180668,3080506,2573396,1385137,808694,PET
180130,456165,521129,1143688,4633982,2834294,299030,175466,307111,487929,849485,2776584,3716853,1488315,244508,PET
288599,517553,944115,2259195,1696693,1031784,512351,374672,379056,716730,1631908,1898710,1227991,747306,454992,PET
326035,520649,1080384,2435414,2252435,1960822,597449,510744,399420,788159,1751224,2357417,2130527,1295174,560838,PET
330232,532204,1186673,2573735,2005953,1501142,511966,384420,403063,833491,1891413,2323695,1715536,985602,460516,PET
286869,523392,1086105,2261273,1769261,1304847,552226,365040,371423,784635,1712231,2002901,1532541,967290,451485,PET
238555,451759,866357,2823053,3007117,1947505,553712,350907,348679,702567,1958585,2969720,2403646,1208208,462206,PET
356942,613586,1040789,2611517,2027847,2425146,921969,900394,495437,822365,1617153,2112986,2146410,2065201,1031162,PET
335914,553587,1230658,2870773,2385789,1441310,612520,432433,428186,877534,2058947,2656772,1944063,1034578,523218,PET
214743,419281,770935,2822347,3126846,1841947,501808,352024,326890,656514,1947810,3047588,2387957,1107008,438964,PET
335788,561801,1232930,2999037,2447749,1715005,654049,501801,434468,875372,2078709,2654392,2065918,1210019,572076,PET
370683,532333,1372344,1378447,1218956,1341094,485133,330377,410819,809927,1230000,1264987,1206369,865573,399624,PET
357847,630968,1109919,3232957,2926205,3100722,642584,552954,520855,893488,1903789,2755318,2850268,1742547,611106,PET
342841,552560,1133154,2815384,2707490,2158673,628010,473802,421626,823179,1923205,2646963,2390587,1388763,544392,PET
352623,613914,1039265,2523135,2107574,2343585,889914,810462,489661,821584,1572340,2103234,2144762,1988306,954214,PET
331300,547445,1176957,2678434,2601070,2002742,557965,441622,416370,843912,1905934,2623269,2302123,1285480,498008,PET
307917,527221,1034974,2329436,1674039,946226,550020,418155,398204,768767,1651609,1876438,1204834,721219,489384,PET
318457,562755,918099,2417074,2087445,1576503,523101,460293,417614,725466,1662236,2400093,1906371,1018521,482540,PET
336612,582230,770928,2263488,2791232,1421432,1008520,196104,430924,656053,1270257,2045995,1779908,1072292,554446,PET
