IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1283375,2239621,3741484,6263721,6372418,3883592,1598831,994893,1627311,2872333,4960124,6310635,5123999,2754847,1326330,PP
1314720,2267941,3742150,6185204,6353402,3799463,1582742,962740,1653819,2883064,4920182,6266713,5075252,2702410,1296080,PP
1279275,2150996,3573033,5981948,6136855,3775817,1571354,974522,1585106,2748784,4741646,6063921,4958153,2683792,1298414,PP
1283712,2239475,3742769,6263419,6371065,3885277,1598898,1000154,1627423,2873031,4960600,6309492,5123946,2755920,1329440,PP
1284323,2158623,3610385,5971942,6044908,3669897,1555618,971781,1587082,2759763,4742606,6006691,4853070,2624367,1281960,PP
1308529,2230018,3723038,6168587,6241505,3691076,1532973,938339,1634067,2856520,4901140,6200395,4968016,2624970,1257419,PP
1281711,2115090,3528400,5997269,6297941,3809952,1500873,931025,1570573,2710244,4721451,6143875,5058080,2668160,1234191,PP
1269299,2144601,3614128,6138471,6279575,4004853,1535319,963040,1579355,2767044,4840717,6211758,5147160,2787705,1282101,PP
1292515,2156176,3615683,6100790,6136235,3724992,1503141,977934,1595971,2774699,4819518,6115865,4929925,2625756,1264216,PP
1307182,2211380,3724707,6162893,6267778,3731307,1601017,970839,1625179,2850499,4906566,6227271,5015971,2685268,1307223,PP
1290857,2167805,3628136,6082972,6147002,3688995,1521329,973839,1598101,2783792,4813485,6109552,4917025,2618997,1272311,PP
1288544,2218273,3715527,6148382,6259124,3579313,1571127,893676,1621827,2850209,4885678,6199294,4922316,2587955,1254925,PP
1246689,2071759,3437993,5846066,6200008,3844157,1499377,954684,1534688,2647968,4607318,6023230,5018751,2682561,1251920,PP
1274993,2124906,3583551,6147738,6315605,3860597,1471465,931829,1569905,2743217,4826878,6229194,5088599,2676131,1224687,PP
