IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
265456,482552,807938,2018790,1763571,1047633,499643,304119,349785,630110,1424367,1821240,1348184,813010,414957,PET
320369,550722,1158546,2770295,2671613,2040373,631419,362401,417481,840458,1946627,2708010,2338418,1340932,500090,PET
255534,426728,692453,1459328,1204537,878685,436067,257396,320116,540934,1052330,1319367,1044945,659044,351811,PET
213964,390033,680417,2261069,7969719,2008781,780640,665240,277124,485163,1254997,5180601,5007317,1402993,848691,PET
265134,497130,895060,2252966,2245561,1701801,544342,366885,378058,708140,1595503,2255288,1976388,1142163,457148,PET
213861,480896,790760,1828979,1206390,761981,572739,433548,345379,587236,1265443,1443493,1036786,690905,470316,PET
223725,514891,441277,1185420,2438658,1983207,346741,212096,359860,474775,833100,1853866,2227405,1150617,282543,PET
139813,295992,588662,1287152,1903947,2758395,411877,323021,249793,405092,891080,1980228,2673217,1493298,367039,PET
125436,276985,449820,1210523,1473742,912150,330898,138541,196484,363574,828197,1300241,1156686,613227,226574,PET
139553,262769,575123,1122769,1661026,3039643,408506,310207,238800,371272,786076,1808488,2733936,1623246,352372,PET
189413,308763,582915,1376050,1475238,3057574,419376,263822,234968,431984,993997,1443331,2296694,1770700,334706,PET
285385,486603,874505,1942766,1476707,1070908,661970,324149,372635,654153,1434288,1787750,1293694,836126,470040,PET
207605,386288,747630,1743705,2126817,1784116,605553,441321,288480,541592,1264647,1881694,1849166,1153009,505280,PET
202027,404755,751563,2450034,2477835,1849744,492116,324216,284726,558542,1601997,2528444,2191306,1139893,409135,PET
326407,603990,1339678,2543753,2517020,1913542,493346,361911,439153,944842,1923502,2581846,2255746,1209105,433616,PET
195354,406647,642590,1325418,1341186,963069,376700,425035,280517,511640,974372,1327165,1156130,681725,379557,PET
357050,414749,946270,2299121,1490802,1582727,620776,313366,372514,675256,1571747,1698090,1365940,1096220,497624,PET
285698,476819,1051079,2393172,2212350,1923515,549718,412407,357553,766231,1746032,2362037,2138019,1269652,486240,PET
166323,504151,801030,1840809,1130898,800861,567626,470575,343459,582510,1285830,1419520,1040120,711477,471434,PET
275421,525462,893900,2320821,1572733,970581,438373,335764,382877,696806,1616731,1899489,1199162,688683,394790,PET
344741,385797,1045111,1983634,1676240,2338571,471705,273139,350011,704145,1493964,1780334,2051428,1512832,376481,PET
415796,656531,1577406,3222543,2978940,2516891,958139,501354,520488,1112600,2385509,3123924,2802236,1756965,747352,PET
258162,521146,800833,2275563,1496245,919871,365899,268612,376672,647915,1521456,1869835,1222530,664484,324006,PET
268208,492644,928101,2070652,1607394,1093313,548541,359319,363100,694141,1514283,1834171,1333063,806293,431670,PET
236128,455882,833342,1718581,1759073,2136432,590914,476673,330953,630489,1291578,1777648,2000206,1436855,538936,PET
177468,396792,638419,1485765,1655450,957910,373885,220376,285078,522070,1250808,1741804,1334898,716141,311284,PET
299471,549754,886922,2377818,2104100,1558905,517292,464083,401425,706493,1637359,2304135,1863823,1027338,481921,PET
290285,503166,1370195,2128726,1961026,1263176,484661,372466,360313,780260,1578765,1943529,1588243,913711,431777,PET
287230,627647,1502738,3323327,1513203,1427853,514512,267710,445602,981609,2267035,2410203,1534656,957307,384364,PET
615790,390015,1095238,2611569,2216033,1087494,471337,766424,399702,678999,1759675,2256084,1515270,839726,657795,PET
252896,474415,1118638,2158315,1676763,1378225,538963,306574,348531,821900,1899058,2138924,1534592,967730,433253,PET
298144,512439,838283,1797344,2155033,1127952,360280,170960,371807,682588,1278440,1931490,1657190,752644,269316,PET
223423,480365,809003,2157815,2112009,1683005,495067,304362,331184,724798,1633228,2180799,1859244,1056267,423908,PET
173534,367884,603742,1993906,2116889,1383243,393845,223816,263137,476904,1311563,2057337,1721840,874827,314167,PET
139649,283287,512471,1205298,1488192,1340854,544075,160779,207260,401468,870823,1362734,1486341,989510,319053,PET
222216,435192,808952,2156833,2175219,1572355,549958,300016,308240,611350,1502677,2166444,1849773,1026366,395917,PET
367466,591898,1061100,3117235,2045315,2290287,828460,822710,464022,822298,2111427,2622273,2188383,1572443,855457,PET
476964,704555,1429080,4118401,3135511,2161780,586046,420918,568464,1066241,2825950,3649605,2666223,1357171,537651,PET
351914,580625,1336237,2877376,2349842,1497639,642326,480421,434290,870002,2066144,2645703,1944901,1080867,563970,PET
341780,767159,1687029,2453730,2491173,1987267,448979,251893,512159,1172048,1997400,2492783,2307761,1210431,366274,PET
314165,504401,1148926,2405985,1645582,1246172,615038,519144,438539,996784,2293046,2291842,1527429,868493,496732,PET
183562,527669,786235,1647138,1175665,814820,590524,206642,326343,635239,1189243,1425768,1027466,723758,401468,PET
