IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1077451,1785643,3109817,1320751,2351153,LDPE
1052625,1748347,3028651,1288915,2283513,LDPE
1739425,2926135,4966239,2153265,3789271,LDPE
1642413,2833577,4663775,2055023,3585675,LDPE
1653071,2856789,4738421,2085377,3644855,LDPE
1101903,1791581,3238939,1335017,2418087,LDPE
1129473,1802043,3246809,1350933,2423027,LDPE
1027619,1730919,2967295,1278423,2259049,LDPE
1083469,1794675,3060609,1325285,2329833,LDPE
1031717,1725053,2895319,1274803,2218821,LDPE
1021369,1714395,3011889,1253155,2254719,LDPE
954893,1584163,2755161,1173403,2083197,LDPE
1014107,1648931,2929747,1228271,2199397,LDPE
1021203,1710313,2979513,1256219,2242609,LDPE
1376521,2233683,3759989,1670019,2870689,LDPE
1440625,2360171,4009603,1754209,3057067,LDPE
1424717,2382281,3863707,1760119,2999223,LDPE
1349643,2236383,3746371,1659161,2878163,LDPE
1037119,1717913,3033101,1261719,2272673,LDPE
1192453,2016419,3383849,1482097,2592557,LDPE
1566033,2624363,4159763,1935081,3253857,LDPE
1564517,2610823,4218409,1928853,3277703,LDPE
1191417,1954545,3246799,1449103,2497923,LDPE
1201903,1992295,3379583,1476783,2570487,LDPE
1579253,2726443,4487095,1991211,3462819,LDPE
1602517,2750957,4523827,2012439,3491107,LDPE
1116383,1844059,3161823,1366989,2403471,LDPE
1115211,1835097,3159411,1366333,2400789,LDPE
1200101,2021175,3340711,1491293,2579345,LDPE
1200855,2043927,3389665,1503159,2620033,LDPE
1533489,2577653,4331331,1899295,3316361,LDPE
1457591,2559125,4363869,1858197,3325621,LDPE
1035071,1715779,2984587,1276201,2269203,LDPE
1025293,1744785,3024579,1280411,2288531,LDPE
1177111,1877365,3320445,1411797,2499163,LDPE
1176623,1882799,3330515,1412861,2505737,LDPE
1110605,1905089,3300417,1394289,2500529,LDPE
933283,1477835,3276803,1112911,2289073,LDPE
1452427,2381489,4064543,1770351,3095511,LDPE
1384229,2289247,3749479,1700077,2903689,LDPE
1680245,2884355,4767023,2110265,3672045,LDPE
1668845,2874751,4749337,2099767,3659649,LDPE
1125709,1796819,3023191,1349625,2314493,LDPE
1124439,1807397,3140791,1353685,2372149,LDPE
1734943,2996249,4935303,2155279,3769415,LDPE
1748505,3039723,5015163,2206769,3866515,LDPE
1186003,1977237,3300797,1461205,2534241,LDPE
1067981,1761157,2984459,1306111,2278399,LDPE
1245009,2072341,3487971,1520389,2659323,LDPE
1244351,2083809,3330391,1531531,2591557,LDPE
1373851,2258241,3691119,1679195,2857457,LDPE
1439733,2338153,3925017,1743687,3007163,LDPE
1377533,2281191,3903923,1687369,2969635,LDPE
1372941,2277655,3900997,1686233,2967683,LDPE
1367485,2249765,3878225,1681363,2950945,LDPE
1171937,1963867,3257457,1447981,2504211,LDPE
1213819,2023449,3420529,1494169,2613159,LDPE
1187931,1976453,3277475,1460721,2523303,LDPE
