IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
960229,1515691,3319533,5623449,5780315,4482653,1353925,1210567,PE
1009673,1667703,3165669,5378227,6274925,3974911,1446693,1302011,PE
1021621,1773805,3093381,6415103,5774751,3646943,1511397,1186867,PE
1042609,1742221,2901653,4838575,5241493,4154935,1468057,1027909,PE
1370457,2362305,3958213,6641849,5926145,3447009,1643399,1122455,PE
1712099,3033169,5017691,8039599,7826177,4487429,2145011,1269313,PE
1241367,2112383,3523435,5704965,5842003,3794519,1488429,1101813,PE
1080971,1813463,3160597,5543207,5494573,3892727,1375711,1143911,PE
992171,1687191,2921039,4937425,5052281,3590681,1330443,1047475,PE
1277963,2221299,3706301,5818017,5551393,3583007,1643349,1107975,PE
1532361,2665651,4525489,7397109,7026493,3864101,1672185,986765,PE
1647215,2937395,4850539,7865631,7663293,4312621,2102297,1155697,PE
1036245,1786123,3073939,5221995,5306541,3427703,1341193,910085,PE
1165967,2006091,3358193,5666173,5942913,3897785,1545577,1100199,PE
1089047,1806825,3134469,5723047,6068223,4318803,1582451,1162385,PE
1687879,2938081,4835451,7933105,7841573,4451445,2116185,1173897,PE
1015709,1732041,3078805,5661861,5784467,3636529,1301335,907027,PE
1434241,2463197,4183625,6695999,6339471,3699227,1548355,983623,PE
1594179,2823185,4659323,7650337,7533083,4251999,2016245,1098679,PE
1360933,2312183,3858383,6450143,6489237,4080657,1571549,1090809,PE
1034039,1768899,3033403,5307315,5514539,3642149,1399441,983111,PE
1136409,1892511,3347191,6053113,5852057,3571335,1345817,1170175,PE
1345897,2298929,3828905,6161899,5987873,3649751,1489259,1038015,PE
1247953,2121401,3634235,6101743,5803485,3157961,1437815,1221393,PE
1150955,1983387,3364599,5945635,6128293,4150615,1472931,1058443,PE
1075757,1828859,3199513,5789129,5710581,3565687,1381437,1057495,PE
1391683,2326927,3816705,5965887,6088663,4033299,1629303,1166809,PE
