IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
869361,1483879,2889589,1087809,2104097,PE
898613,1528067,2946365,1120691,2149779,PE
976119,1658999,2891831,1218105,2187363,PE
871969,1490323,2614357,1093301,1976045,PE
1367857,2395733,3976695,1738113,3056341,PE
894919,1462319,2788107,1089867,2046127,PE
906133,1545077,2716367,1134209,2047063,PE
1134479,2024143,3424007,1455741,2615651,PE
962371,1646807,2886951,1206425,2177769,PE
891185,1417615,2535043,1061447,1889385,PE
871335,1616961,2981605,1142549,2194435,PE
1014493,1733079,2967987,1269107,2258321,PE
1473349,2528719,4392079,1835427,3306093,PE
925957,1718551,3164321,1223193,2345985,PE
1365153,2405241,4044733,1741295,3094869,PE
1176119,2166373,3504409,1543803,2716951,PE
1029685,1875561,3180855,1344681,2428665,PE
1038937,1886735,3172003,1352001,2430285,PE
1039413,1767453,3030183,1297803,2304275,PE
1214433,2115779,3487363,1538651,2689779,PE
1008349,1730301,2917335,1266089,2231993,PE
954805,1600067,2728715,1180813,2080227,PE
1001953,1718299,2947061,1258691,2238989,PE
1051385,1788765,3021939,1312375,2312017,PE
1324147,2309699,3910583,1682137,2989387,PE
1006411,1710121,3016115,1257595,2272625,PE
1344265,2300673,3855597,1731141,3029467,PE
545041,943371,1549715,697597,1172783,PE
559085,905601,1216261,679327,1022593,PE
1338549,2322969,3931675,1694155,3005095,PE
1390885,2404253,4083357,1753435,3117081,PE
1474067,2448443,4047545,1813013,3119183,PE
1505609,2518805,4140693,1858013,3199291,PE
958323,1613425,2977113,1187399,2205035,PE
1446609,2449355,4052293,1803993,3123173,PE
841431,1420345,2638353,1044661,1954549,PE
851563,1434843,2971477,1053727,2077223,PE
970695,1648535,2896231,1206921,2182269,PE
832895,1515375,2871771,1088085,2113451,PE
859863,1456041,2683607,1038131,1935035,PE
1007075,1721031,3002291,1262685,2269883,PE
1012295,1729471,2946813,1267139,2247781,PE
986901,1676249,3016811,1230949,2256015,PE
1432871,2451849,4190161,1794345,3191117,PE
1001127,1691211,2960873,1243703,2233465,PE
1014641,1721011,3045225,1264075,2287601,PE
870045,1479429,2495375,1084067,1909297,PE
1063219,1804231,3097747,1326243,2356541,PE
907315,1584445,2829799,1148203,2114223,PE
1500751,2512795,3966785,1852257,3107753,PE
1572361,2691877,4633921,1970767,3505453,PE
1387311,2341471,3831527,1720707,2958273,PE
934349,1546291,2922465,1145205,2147603,PE
1601651,2775521,4624565,2020885,3550029,PE
847369,1492437,2833097,1077549,2075277,PE
879049,1415181,2840967,1059677,2045823,PE
1434361,2412063,4031971,1775877,3091753,PE
