IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1508521,2942918,6289855,8379298,8398779,8377586,6974294,3864273,1665542,3548171,8398779,8398779,8398779,7737706,4719441,ALU
1270935,3198023,6880364,8394239,8394239,8394239,5249565,3822415,1704778,3811753,6907857,8394239,8394239,6000145,3928229,ALU
1699298,3655666,7753339,8372328,8394464,8389326,5085685,3609723,2048852,4389938,7877632,8394464,8394464,6637828,3973296,ALU
849951,2864426,5621212,8394679,8387499,8394382,5032776,3752790,1469820,3365937,8401266,8401266,8401266,6128608,3892940,ALU
1437319,2872426,6191488,8382815,8399325,8399325,7024983,3958636,1620728,3484780,8399325,8399325,8399325,7740799,4730445,ALU
1577129,3617495,7667237,8385133,8395242,8383760,5446634,3779052,1985175,4308349,7578088,8395242,8395242,6363802,4172177,ALU
819840,2894340,5560698,8401383,8383210,8399031,4868717,3555874,1457652,3337027,7542277,8402569,8402569,5863991,3719586,ALU
1287187,3216660,6947327,8393296,8394933,8393065,5322456,3835878,1726793,3847736,6994555,8394933,8394933,6086522,4004764,ALU
875281,2780013,5539575,8382387,8402775,8381595,5071434,3490896,1452433,3275620,8402775,8402775,8402775,6115572,3775372,ALU
1636031,3683042,7773845,8377826,8391817,8375483,5393193,3739190,2078953,4447316,7807520,8395075,8395075,6500454,4181471,ALU
1300949,3223990,6978239,8391337,8394506,8394506,5248788,3813127,1729899,3851559,6963908,8394506,8394506,6031365,3936524,ALU
1486615,2925217,6180996,8397290,8379134,8397290,6863946,3885410,1632014,3520760,8397290,8397290,8397290,7721414,4750265,ALU
1492601,3514683,7452059,8395436,8386544,8395436,5393817,3796905,1874732,4110299,7308379,8395436,8395436,6217037,4100155,ALU
