IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1035216,1778093,3055041,5261770,5403508,3527676,1368347,944129,1301607,2321253,4131046,5341538,4469770,2464599,1187184,LDPE
1129203,1921351,3283742,5867428,6107187,4209707,1511410,1094963,1410524,2500681,4538666,5984102,5156093,2877282,1334093,LDPE
1017140,1734348,3081682,5664894,5782705,3634840,1303244,910613,1270969,2314815,4344264,5732136,4719540,2485237,1134443,LDPE
1381746,2343488,3882950,6282330,6012582,3758834,1635901,1146045,1721735,2990601,5038473,6139190,4880604,2712543,1421146,LDPE
1000522,1699199,2936182,4971480,5112880,3623694,1341788,1056998,1249305,2226508,3913733,5016235,4342459,2490404,1232201,LDPE
1452643,2501167,4247741,6827492,6468322,3730149,1571579,984212,1825747,3242153,5491699,6638049,5093724,2665375,1307801,LDPE
1162247,2011783,3395100,5708997,5691746,3454501,1401798,957536,1473376,2602652,4514456,5695049,4573102,2445459,1209566,LDPE
1721373,3059336,5073708,8265761,8091894,4521960,2225790,1240617,2212237,3908441,6653455,8186712,6296712,3383800,1760717,LDPE
1150302,1942678,3375226,5937276,5799287,3526583,1365134,1095339,1431060,2557563,4620592,5863550,4661935,2465044,1259591,LDPE
1638772,2923740,4856493,8142514,7878406,4426253,2134997,1148800,2110915,3735978,6448423,7994819,6138853,3292216,1671810,LDPE
1190483,2040304,3396562,5655217,5876243,3922702,1541483,1084497,1493043,2611484,4488743,5762219,4895202,2745655,1343078,LDPE
1608560,2854155,4711175,7708718,7568392,4268437,2039579,1114140,2064473,3633781,6157851,7619256,5900656,3164606,1606842,LDPE
1019343,1736485,3077212,5631994,5770922,3654253,1310616,923067,1273114,2313898,4325623,5709115,4722456,2498482,1144764,LDPE
1056403,1791671,3062381,5235085,5496041,3729700,1400965,1056784,1318500,2334247,4116820,5362023,4610000,2581086,1261300,LDPE
1090833,1843421,3265643,5527752,6102517,3934860,1498041,1197213,1354736,2452420,4349080,5796719,5007437,2720235,1377095,LDPE
1213142,2078990,3448589,5697518,5855230,3904141,1544091,1078415,1522523,2654827,4534691,5773884,4875240,2737440,1341024,LDPE
1212724,2075738,3441679,5677904,5841031,3919424,1541747,1075499,1520706,2649822,4521337,5757089,4875498,2743574,1338207,LDPE
1074771,1827269,3197530,5787039,5711794,3566850,1380121,1055024,1343211,2414045,4454101,5747828,4650364,2496673,1244881,LDPE
1713997,3038525,5029156,8085891,7880565,4494497,2161545,1263439,2201769,3879863,6512760,7980125,6192626,3346976,1743512,LDPE
1370948,2361485,3954936,6626197,5929908,3460584,1643072,1123482,1725053,3033689,5243579,6268543,4694444,2568864,1412416,LDPE
1230896,2113368,3523808,5796817,5916745,3768928,1524452,1105596,1547079,2708213,4622782,5853600,4840270,2661711,1346304,LDPE
1654439,2953111,4908396,8218230,7933659,4463461,2156979,1170469,2132200,3775524,6512370,8062325,6188593,3323132,1693830,LDPE
1060467,1836317,3164646,6213553,5820006,3714448,1520595,1163543,1339624,2402321,4644440,5989705,4742168,2626758,1375357,LDPE
1053214,1787107,3085372,5403696,5506381,3744530,1389745,1048811,1312115,2340953,4218110,5466188,4634395,2585386,1249854,LDPE
1240545,2135645,3549652,5720154,5702498,3788233,1583492,1086816,1561152,2730828,4594598,5709688,4744985,2701385,1365578,LDPE
1551967,2712040,4580978,7477090,7135201,3940668,1745609,1015603,1971314,3503158,5979465,7292759,5528876,2856413,1410793,LDPE
1355970,2305089,3826220,6118773,6010048,3734138,1520071,1066351,1692849,2944952,4930846,6057721,4867031,2641786,1323334,LDPE
1213385,2080876,3452598,5708897,5863468,3895274,1545450,1080107,1523577,2657731,4542439,5783628,4875091,2733882,1342658,LDPE
1716304,3045157,5044434,8138762,7913449,4510933,2186964,1261631,2206111,3890050,6548989,8022670,6216319,3367636,1755606,LDPE
1388233,2390423,4021034,6656940,6041337,3517301,1616910,1083763,1745844,3079554,5292420,6339709,4777530,2583566,1379633,LDPE
1020365,1741404,3067270,5571788,5715891,3637956,1326258,926356,1275916,2310755,4292717,5655618,4688669,2498874,1154690,LDPE
1230095,2102354,3582009,5994912,5773298,3229615,1429472,1147201,1543071,2733194,4749171,5877833,4497416,2346091,1319057,LDPE
1639792,2921411,4823778,7835501,7645070,4304137,2090254,1147717,2110243,3720065,6278377,7725212,5961236,3209189,1648878,LDPE
1213224,2070283,3430335,5646625,5818941,3937778,1535464,1071653,1518337,2642449,4501683,5730918,4878150,2752355,1331140,LDPE
1062950,1808210,3173769,5761986,5726338,3580795,1364353,1025404,1328393,2393692,4431573,5744610,4664553,2494327,1222229,LDPE
1258617,2140730,3655431,6108293,5823561,3211509,1443416,1201426,1572396,2785387,4841731,5959549,4512940,2343984,1353140,LDPE
1015525,1739615,3002061,5088219,5187014,3504318,1336139,974671,1275291,2277368,4008327,5123188,4329475,2431007,1187219,LDPE
1400076,2389231,3974456,6586535,6596786,4106284,1629387,1111198,1749873,3056420,5237555,6584009,5346477,2882340,1402003,LDPE
1656869,2937557,4846956,7881651,7705621,4345581,2105594,1160018,2125137,3738842,6312443,7777760,6012421,3237537,1662508,LDPE
