IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1282163,2291131,3837857,6381763,6413577,3869691,1601043,998811,PE
1279331,2289649,3837779,6376969,6395873,3864901,1600799,996493,PE
1262069,2281907,3775961,6231883,6333431,3771597,1608187,1013999,PE
1273505,2206951,3725555,6235635,6261497,3923249,1586269,1058639,PE
1284481,2305903,3896937,6438933,6417861,3752931,1683785,1052115,PE
1267823,2290325,3812393,6399473,6495321,3923129,1621339,981129,PE
1260875,2209827,3696803,6400503,6561837,3959495,1527389,976301,PE
1251055,2182077,3642661,6070283,6382591,4031087,1593523,1047231,PE
1300413,2343453,3902263,6315745,6266937,3564175,1612939,1000175,PE
1258801,2279525,3873511,6545575,6573509,3953865,1636427,977833,PE
1270229,2221339,3712773,6176435,6310673,3921339,1573617,969805,PE
1277367,2308429,3835911,6291789,6415013,3790823,1660577,981441,PE
1286591,2244089,3738949,6192265,6133081,3656577,1529471,934947,PE
1314535,2370117,3939419,6574463,6690149,4001403,1686269,1049113,PE
1266839,2218175,3689421,6072861,6072993,3903877,1565123,1016909,PE
1275243,2267645,3767911,6256341,6322885,3875453,1592359,1026947,PE
1251261,2179361,3644081,6125815,6184085,3823339,1532381,1051103,PE
1270153,2213641,3724759,6298055,6488853,4086593,1570079,1045477,PE
1300911,2353679,3938275,6509497,6560013,3950343,1592295,991381,PE
1281819,2302601,3836663,6377787,6382163,3732321,1589747,981319,PE
1282075,2241477,3716297,6196317,6243893,3811071,1584089,1013761,PE
1292105,2324879,3872143,6466819,6380433,3729625,1594119,966043,PE
1252575,2190451,3711507,6310401,6403177,3853083,1533817,1008823,PE
1262189,2197903,3677097,6115229,6215479,3948233,1611359,1089511,PE
1261963,2187427,3666569,6080251,6157521,3872625,1625293,1046179,PE
1259547,2217897,3729161,6216797,6166607,3686607,1524605,971279,PE
1260489,2271877,3757111,6149221,6139555,3590735,1540469,924743,PE
1262205,2194073,3654001,6027245,6119967,3772263,1545835,1004731,PE
1240817,2171121,3629071,6203535,6395731,3882245,1557729,1014789,PE
1247857,2172601,3641379,6157853,6238399,3844863,1556395,1007415,PE
1271009,2218533,3697597,6210841,6345113,3864107,1566963,1024799,PE
1279831,2230019,3771689,6287795,6316713,3776909,1536477,976529,PE
1266691,2201819,3720557,6418415,6397823,4024967,1560385,997495,PE
1310543,2353303,3926405,6472273,6461315,3840309,1615985,999651,PE
1254627,2205585,3669359,6123223,6312755,4073539,1602285,1035081,PE
1281249,2236325,3711299,6109369,6197799,3736845,1541807,1005785,PE
1265833,2293843,3838751,6363973,6407855,3742185,1644145,979907,PE
1261059,2194349,3689221,6205211,6452047,3974873,1580283,1018741,PE
1294515,2339775,3923787,6572439,6531191,3932693,1618415,985905,PE
703369,2658738,5403020,8383874,8405071,8341824,4895349,3554930,ALU
826386,2899188,5618462,8401566,8401566,8401566,4924886,3556047,ALU
826741,2908300,5570041,8402421,8381915,8402421,4867140,3555930,ALU
832492,2919027,5684290,8401510,8401510,8401510,5073242,3875657,ALU
839276,2909189,5669479,8400646,8380510,8400646,5019718,3877337,ALU
873027,2767670,5516881,8381782,8402609,8380844,5061005,3483574,ALU
878023,2795026,5567178,8383124,8402979,8382510,5084120,3499802,ALU
1033259,2820301,5534910,8355349,8403086,8379441,5055103,3328350,ALU
1269569,3136022,6396776,8386608,8386608,8386608,4843955,8185313,ALU
