LED0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,-134,81975,14660,216951,354436,3071787,5648156,6379911,5543552,7594101,7985174,8387579,8338884,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878
LED4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,24844,41169,3668,118545,203680,2407657,4947056,5741429,4843650,7179571,7733452,8385225,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878
LED5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,12378,21791,580,79103,3093800,2082381,4538102,5407847,8109330,6945921,7548804,8381761,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878,8387879,8387878
LED6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,4880,8793,-24,37423,1649462,1090289,2464664,2947275,4514718,3866399,4221526,4677801,4675166,4671189,4671090,4665033,4661986,4660673,4654684,4652399,4652742,4649899,4646398,4642827,4640180,4636363,4635552,4635511,4628916,4624865,4625948,4619161,4618334,4615085,4616862,4615273,4612962,4610777,4609344,4608959,4606430,4604841,4603644,4603181,4602224,4600841,4599842,4597201,4598304
LED7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-565,11394,21339,2298,65391,110714,1251657,2534164,2930559,2519760,3629267,3864420,4126861,4122324,4119027,4117824,4112275,4108728,4108351,4103206,4100145,4100256,4095553,4094576,4091671,4087616,4081341,4080634,4081397,4078206,4076469,4073542,4070167,4068194,4068007,4065868,4063597,4059728,4057755,4055566,4054213,4050824,4048719,4048360,4047031,4044114,4044027,4041266,4039705,4039698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,2137,8349,483093,1590789,3012203,3021741,3036762,,3086584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1113,4523,20147,968089,3077575,5636621,5648551,5665668,,5643822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,933,26623,87145,2168929,5497845,7043821,8384661,8388704,,8388704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1641,59181,171857,2826285,6224747,7528371,8388387,8339430,,8388704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4213,152701,358105,3701227,6868201,7880869,8388703,8371384,,8388704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,397,423,586449,4494585,7366103,8099381,8185335,8385354,,8388704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-27,617,509863,386013,1825411,4752421,4781001,4843522,,4773050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,1787,458731,362063,1259879,2516153,2521517,2529680,,2474056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
