IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
953885,1535335,2343841,1184177,1882619,Rec
1178371,1866737,2795275,1447997,2270827,Rec
1210287,1939523,2810369,1489395,2306285,Rec
1207109,1949287,2846765,1496135,2334113,Rec
1208791,1935893,2800315,1487865,2303213,Rec
1329141,2099219,3077067,1621163,2516335,Rec
1311927,2100793,3112295,1615427,2536161,Rec
1549685,2556243,3987341,1942361,3181245,Rec
1363151,2259011,3575821,1718411,2843943,Rec
1282495,2127031,3369283,1604063,2644423,Rec
1399481,2324639,3597067,1769045,2891625,Rec
1268417,2076387,3249589,1501355,2476751,Rec
1222925,2006247,3217005,1527239,2539625,Rec
1087565,1741923,2864771,1359037,2262667,Rec
1223859,1969687,3143269,1513273,2488943,Rec
1218009,1964031,3090951,1507325,2459543,Rec
1142769,1848347,2892707,1411249,2294093,Rec
1100749,1811693,2879949,1370325,2261935,Rec
1015653,1705347,2463977,1290487,2026755,Rec
1179313,1960643,3096577,1489561,2453207,Rec
1196205,1967579,2815411,1498259,2324573,Rec
1042363,1706369,2528895,1300663,2059665,Rec
1969045,3032311,4504855,2365057,3658937,Rec
2041891,3281261,5148339,2515645,4089825,Rec
2091121,3284471,4901181,2538507,3969643,Rec
1759235,2948115,4683169,2230161,3709405,Rec
2154161,3470337,5522325,2665053,4378235,Rec
1714113,2702685,4409397,2242483,3726711,Rec
1988159,3288637,5276633,2498271,4167075,Rec
2060721,3388403,5341587,2582117,4246063,Rec
1815293,2892915,4810349,2232813,3690255,Rec
2019483,3292269,5235261,2519361,4153857,Rec
1948773,3224069,5089089,2471557,4070979,Rec
1993575,3277637,5268449,2499443,4167097,Rec
1443423,2348047,3285647,1799795,2730177,Rec
1429831,2243741,3190315,1740463,2642565,Rec
1620197,2539467,3740279,1968067,3051503,Rec
1715755,2833479,4429849,2153863,3537675,Rec
1548219,2458355,3815103,1904235,3095401,Rec
1581283,2643487,4085871,2000493,3275645,Rec
1460923,2397467,3466205,1826993,2853557,Rec
1448199,2417297,3641277,1737311,2874405,Rec
1566119,2609453,4081425,1978127,3257635,Rec
1677951,2929823,4509339,2183943,3630577,Rec
1671795,3013817,4720515,2220667,3765305,Rec
1714071,2984841,4680059,2222461,3722907,Rec
1668631,2958419,4481171,2195901,3623805,Rec
1711127,2861975,4393695,2177349,3548437,Rec
1702419,2937443,4620067,2204111,3689021,Rec
1457165,2549469,4138321,2002377,3462735,Rec
1579795,2780061,4623347,2073627,3555183,Rec
1760165,2986095,4761129,2271231,3817069,Rec
1777553,3020923,4808603,2272871,3811763,Rec
1520933,2645805,4277361,2050871,3541927,Rec
831483,1283873,1848235,1000073,1518855,Rec
1077487,1674111,2749043,1306207,2145181,Rec
1126705,1692941,2627671,1329337,2106173,Rec
799597,1275097,1834211,981615,1510379,Rec
1345297,2187449,3616543,1676247,2831067,Rec
1355763,2217577,3632995,1694211,2851167,Rec
1114293,1792563,3127575,1439763,2444505,Rec
1116303,1792041,2950949,1375865,2306991,Rec
860981,1384501,2395575,1111721,1886913,Rec
1162381,1887363,3356817,1450419,2566955,Rec
923279,1568147,2872041,1208003,2206805,Rec
1462473,2444947,3940961,1850551,3102723,Rec
1645273,2695975,3924409,2055259,3218905,Rec
1567649,2613699,3798607,1982303,3092691,Rec
1565837,2548207,3850945,1949273,3111467,Rec
1765967,2893861,4631273,2211653,3662175,Rec
1541969,2599697,4109423,2021369,3282623,Rec
1647975,2709973,4305715,2060631,3411867,Rec
1518997,2459657,3850267,1905109,3099537,Rec
1643399,2680651,4256425,2052135,3398381,Rec
1531847,2504249,4012699,1908647,3177049,Rec
1527847,2533835,3752605,1908855,3055223,Rec
823273,1392085,2146457,1055603,1724697,Rec
1027627,1699259,2778821,1294579,2182047,Rec
838729,1402941,2182169,1058031,1739909,Rec
1179431,2006389,3772929,1517919,2825173,Rec
1022725,1737741,3021205,1324875,2349193,Rec
1294609,2183297,3564639,1651267,2801249,Rec
1228907,2044777,3348265,1613237,2809939,Rec
1113789,1906423,3098507,1429391,2434033,Rec
1028375,1744919,2790913,1280977,2181365,Rec
2095701,3956041,6254633,2863995,4970569,Rec
1837203,3460517,5113033,2514331,4217745,Rec
1939399,3620019,5542303,2615499,4452037,Rec
1585673,2666611,4343935,2011223,3408063,Rec
1563447,2685085,4307453,2004021,3387943,Rec
1544831,2606447,4193315,1967653,3310249,Rec
1533999,2613917,4258317,1965259,3344405,Rec
1662743,2828679,4652657,2131481,3651419,Rec
1198475,1970261,3309695,1541967,2688915,Rec
1374257,2300009,3902967,1624011,2828239,Rec
1609377,2733961,4418807,2058095,3476699,Rec
1266707,2196139,3679853,1707525,2883193,Rec
1246891,2991511,4580341,2012849,3687679,Rec
1184947,2883071,4455711,1928593,3559595,Rec
1134945,2862873,4327215,1873039,3484617,Rec
1289949,3055571,4731951,2057157,3788183,Rec
1078173,2585963,4088375,1780401,3373411,Rec
2765909,4788745,7576695,3576417,6020311,Rec
2741939,4715965,7540671,3531605,5964749,Rec
